school_id,grade_level,path
004,10,"OU=10th,OU=CHS,OU=Over Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
004,11,"OU=11th,OU=CHS,OU=Over Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
004,12,"OU=12th,OU=CHS,OU=Over Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
008,07,"OU=7th,OU=HMS,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
008,08,"OU=8th,OU=HMS,OU=Over Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
012,62,"OU=PK,OU=MES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
012,64,"OU=K,OU=MES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
012,01,"OU=1st,OU=MES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
012,02,"OU=2nd,OU=MES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
012,03,"OU=3rd,OU=MES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
012,04,"OU=4th,OU=MES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
016,62,"OU=PK,OU=HES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
016,64,"OU=K,OU=HES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
016,01,"OU=1st,OU=HES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
016,02,"OU=2nd,OU=HES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
016,03,"OU=3rd,OU=HES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
016,04,"OU=4th,OU=HES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
020,62,"OU=PK,OU=KES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
020,64,"OU=K,OU=KES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
020,01,"OU=1st,OU=KES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
020,02,"OU=2nd,OU=KES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
020,03,"OU=3rd,OU=KES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
020,04,"OU=4th,OU=KES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
024,05,"OU=5th,OU=OIS,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
024,06,"OU=6th,OU=OIS,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
028,64,"OU=K,OU=GES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
028,01,"OU=1st,OU=GES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
028,02,"OU=2nd,OU=GES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
028,03,"OU=3rd,OU=GES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
028,04,"OU=4th,OU=GES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
036,09,"OU=9th,OU=J9A,OU=Over Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
040,62,"OU=PK,OU=BES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
040,64,"OU=K,OU=BES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
040,01,"OU=1st,OU=BES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
040,02,"OU=2nd,OU=BES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
040,03,"OU=3rd,OU=BES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
040,04,"OU=4th,OU=BES,OU=Elementary Schools,OU=Under Age 13,OU=Student Users,OU=Clarksdale,DC=cmsd,DC=local"
